particle_type,momentum,photon_hits,is_pi,is_K,is_electron,is_muon,is_proton
pi,57.99291332301384,21,1.0,0.0,0.0,0.0,0.0
pi,72.08186046386892,14,1.0,0.0,0.0,0.0,0.0
pi,54.900816440146436,24,1.0,0.0,0.0,0.0,0.0
pi,22.396921347096008,14,1.0,0.0,0.0,0.0,0.0
pi,53.11823944836355,14,1.0,0.0,0.0,0.0,0.0
pi,5.161215131601435,3,1.0,0.0,0.0,0.0,0.0
pi,99.68540057933801,9,1.0,0.0,0.0,0.0,0.0
pi,74.77424461246773,16,1.0,0.0,0.0,0.0,0.0
pi,86.01988070773773,14,1.0,0.0,0.0,0.0,0.0
pi,82.10225166101507,15,1.0,0.0,0.0,0.0,0.0
pi,7.5970751303474575,9,1.0,0.0,0.0,0.0,0.0
pi,30.489871843995335,18,1.0,0.0,0.0,0.0,0.0
pi,75.00556003478567,14,1.0,0.0,0.0,0.0,0.0
pi,38.2378094268918,20,1.0,0.0,0.0,0.0,0.0
pi,5.361066566021688,6,1.0,0.0,0.0,0.0,0.0
pi,17.80921914855923,18,1.0,0.0,0.0,0.0,0.0
pi,7.670131372691263,8,1.0,0.0,0.0,0.0,0.0
pi,14.128987703819885,12,1.0,0.0,0.0,0.0,0.0
pi,84.72176824153134,13,1.0,0.0,0.0,0.0,0.0
pi,60.88520604205946,20,1.0,0.0,0.0,0.0,0.0
pi,71.14752814945993,12,1.0,0.0,0.0,0.0,0.0
pi,89.60696734982737,17,1.0,0.0,0.0,0.0,0.0
pi,79.78936238485232,8,1.0,0.0,0.0,0.0,0.0
pi,49.357973711417756,8,1.0,0.0,0.0,0.0,0.0
pi,75.74084649841308,19,1.0,0.0,0.0,0.0,0.0
pi,91.54748515403416,11,1.0,0.0,0.0,0.0,0.0
pi,67.2140275360219,12,1.0,0.0,0.0,0.0,0.0
pi,68.57666019772243,21,1.0,0.0,0.0,0.0,0.0
pi,3.0777002966152147,0,1.0,0.0,0.0,0.0,0.0
pi,55.66374665731371,11,1.0,0.0,0.0,0.0,0.0
pi,68.48713475065843,13,1.0,0.0,0.0,0.0,0.0
pi,45.191704373828436,21,1.0,0.0,0.0,0.0,0.0
pi,89.04148476837676,15,1.0,0.0,0.0,0.0,0.0
pi,62.66367924839177,9,1.0,0.0,0.0,0.0,0.0
pi,79.22414059239601,18,1.0,0.0,0.0,0.0,0.0
pi,5.217009541332196,3,1.0,0.0,0.0,0.0,0.0
pi,85.82574253162765,14,1.0,0.0,0.0,0.0,0.0
pi,36.48012320001999,22,1.0,0.0,0.0,0.0,0.0
pi,98.8539969827994,19,1.0,0.0,0.0,0.0,0.0
pi,44.061250168995265,16,1.0,0.0,0.0,0.0,0.0
pi,24.0990218320566,12,1.0,0.0,0.0,0.0,0.0
pi,79.49912316152427,13,1.0,0.0,0.0,0.0,0.0
pi,89.62531603031339,18,1.0,0.0,0.0,0.0,0.0
pi,56.414866574266426,15,1.0,0.0,0.0,0.0,0.0
pi,98.74011837801991,14,1.0,0.0,0.0,0.0,0.0
pi,30.33892183793858,16,1.0,0.0,0.0,0.0,0.0
pi,56.77304646913722,14,1.0,0.0,0.0,0.0,0.0
pi,52.456047449983224,20,1.0,0.0,0.0,0.0,0.0
pi,4.264518713141215,0,1.0,0.0,0.0,0.0,0.0
pi,90.8400638920495,12,1.0,0.0,0.0,0.0,0.0
pi,22.999029577775357,13,1.0,0.0,0.0,0.0,0.0
pi,25.34787946349932,7,1.0,0.0,0.0,0.0,0.0
pi,27.26148162706179,12,1.0,0.0,0.0,0.0,0.0
pi,74.74196561268461,22,1.0,0.0,0.0,0.0,0.0
pi,10.331857766803132,19,1.0,0.0,0.0,0.0,0.0
pi,97.4738632384738,14,1.0,0.0,0.0,0.0,0.0
pi,75.71430653892946,15,1.0,0.0,0.0,0.0,0.0
pi,95.30608692933319,10,1.0,0.0,0.0,0.0,0.0
pi,79.55418036470051,12,1.0,0.0,0.0,0.0,0.0
pi,78.6551293647713,16,1.0,0.0,0.0,0.0,0.0
pi,6.8098238559046615,11,1.0,0.0,0.0,0.0,0.0
pi,4.977181079727038,5,1.0,0.0,0.0,0.0,0.0
pi,88.78070623376975,15,1.0,0.0,0.0,0.0,0.0
pi,85.47522583881826,20,1.0,0.0,0.0,0.0,0.0
pi,89.32419783952957,12,1.0,0.0,0.0,0.0,0.0
pi,41.24116185832132,13,1.0,0.0,0.0,0.0,0.0
pi,41.74980781820412,17,1.0,0.0,0.0,0.0,0.0
pi,46.9842454161769,17,1.0,0.0,0.0,0.0,0.0
pi,57.05795670141779,15,1.0,0.0,0.0,0.0,0.0
pi,71.50945293502896,13,1.0,0.0,0.0,0.0,0.0
pi,39.69350977145871,11,1.0,0.0,0.0,0.0,0.0
pi,45.270824920256956,16,1.0,0.0,0.0,0.0,0.0
pi,76.77094964813521,16,1.0,0.0,0.0,0.0,0.0
pi,23.881264499359073,14,1.0,0.0,0.0,0.0,0.0
pi,22.940512654417585,12,1.0,0.0,0.0,0.0,0.0
pi,11.964542162514014,19,1.0,0.0,0.0,0.0,0.0
pi,39.67574922770786,19,1.0,0.0,0.0,0.0,0.0
